Sample_ID	Number	Primer	Barcode	Animal_ID	Eye_sampled	Date_Sampled	Breed	Hide_Color	Sex	Age	Type	Run	Cohort	Swabbing
1	X1	1	1	29	Left	0d	Simmental_composite	R	Heifer	2_22_2020	sample	seq_1	A	L1
2	X2	1	2	29	Right	0d	Simmental_composite	R	Heifer	2_22_2020	sample	seq_1	A	R1
3	X3	1	3	36	Left	0d	Simmental_composite	R	Heifer	2_23_2020	sample	seq_1	A	L1
4	X4	1	4	36	Right	0d	Simmental_composite	R	Heifer	2_23_2020	sample	seq_1	A	R1
5	X5	1	5	38	Left	0d	Simmental_composite	B	Heifer	2_24_2020	sample	seq_1	A	L1
6	X6	1	6	38	Right	0d	Simmental_composite	B	Heifer	2_24_2020	sample	seq_1	A	R1
7	X7	1	7	83	Left	0d	CS	R	Heifer	2_29_2020	sample	seq_1	A	L1
8	X8	1	8	83	Right	0d	CS	R	Heifer	2_29_2020	sample	seq_1	A	R1
9	X9	1	9	92	Left	0d	Simmental_composite	B	Heifer	3_1_2020	sample	seq_1	A	L1
10	X10	1	10	92	Right	0d	Simmental_composite	B	Heifer	3_1_2020	sample	seq_1	A	R1
11	X11	1	11	106	Left	0d	Simmental_composite	B	Heifer	3_4_2020	sample	seq_1	A	L1
12	X12	1	12	106	Right	0d	Simmental_composite	B	Heifer	3_4_2020	sample	seq_1	A	R1
13	X13	1	13	154	Left	0d	Simmental_composite	B	Heifer	3_17_2020	sample	seq_1	A	L1
14	X14	1	14	154	Right	0d	Simmental_composite	B	Heifer	3_17_2020	sample	seq_1	A	R1
15	X15	1	15	195	Left	0d	Simmental_composite	R	Heifer	3_22_20	sample	seq_1	A	L1
16	X16	1	16	195	Right	0d	Simmental_composite	R	Heifer	3_22_20	sample	seq_1	A	R1
17	X17	1	17	250	Left	0d	Red_Angus_composite	R	Heifer	4_7_2020	sample	seq_1	A	L1
18	X18	1	18	250	Right	0d	Red_Angus_composite	R	Heifer	4_7_2020	sample	seq_1	A	R1
19	X19	1	19	263	Left	0d	CS	B	Heifer	4_14_2020	sample	seq_1	A	L1
20	X20	1	20	263	Right	0d	CS	B	Heifer	4_14_2020	sample	seq_1	A	R1
21	X21	1	21	NEG_CON	NONE	NONE	NONE	NONE	NONE	NONE	NEG_CON	seq_1	NONE	NONE
22	X22	1	22	5	Right	0d	Angus	B	Heifer	2_17_2020	sample	seq_1	B	R1
23	X23	1	23	9	Right	0d	Simmental_composite	B	Heifer	2_18_2020	sample	seq_1	B	R1
24	X24	1	24	18	Right	0d	CS Composite	B	Heifer	2_20_2020	sample	seq_1	B	R1
25	X25	1	25	50	Right	0d	Angus	B	Heifer	2_25_2020	sample	seq_1	B	R1
26	X26	1	26	123	Right	0d	Angus	B	Heifer	3_7_2020	sample	seq_1	B	R1
27	X27	1	27	141	Right	0d	Simmental_composite	R	Heifer	3_13_2020	sample	seq_1	B	R1
28	X28	1	28	150	Right	0d	Angus	B	Heifer	3_16_2020	sample	seq_1	B	R1
29	X29	1	29	163	Right	0d	CS	B	Heifer	3_18_2020	sample	seq_1	B	R1
30	X30	1	30	216	Right	0d	Simmental_composite	B	Heifer	3_26_2020	sample	seq_1	B	R1
31	X31	1	31	237	Right	0d	Red_Angus_composite	R	Heifer	4_4_2020	sample	seq_1	B	R1
32	X32	1	32	73	Left	0d	Simmental_composite	R	Heifer	2_28_2020	sample	seq_1	C	L1
33	X33	1	33	111	Left	0d	Simmental_composite	R	Heifer	3_4_2020	sample	seq_1	C	L1
34	X34	1	34	121	Left	0d	Red_Angus_composite	R	Heifer	3_6_2020	sample	seq_1	C	L1
35	X35	1	35	130	Left	0d	CS Composite	R	Heifer	3_11_2020	sample	seq_1	C	L1
36	X36	1	36	133	Left	0d	Simmental_composite	R	Heifer	3_11_2020	sample	seq_1	C	L1
37	X37	1	37	143	Left	0d	Red_Angus_composite	R	Heifer	3_14_2020	sample	seq_1	C	L1
38	X38	1	38	186	Left	0d	Red_Angus_composite	R	Heifer	3_21_2020	sample	seq_1	C	L1
39	X39	1	39	191	Left	0d	Red_Angus_composite	R	Heifer	3_22_2020	sample	seq_1	C	L1
