Sample_ID	PLATE	PRIMER	BAR_CODE_ID	Animal_ID	Breed	DOB	Initial	Days_from_birth	Sex	Hide	Mask_given1	Treat_assign1	Treat_given1	Trt_date1	Treat_group1	Mask_given2	Treat_assign2	Treatment	Trtment_date2	Treat_group2	Time	Date_swabbed	Invitro_growth	Group	infected	Ulcer_positive	Age_group	Type	Run	Missed
1	1	1	1	8111F	Simmental	3/7/18	5/16/18	70	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	1	5_16_18	M_bovis_R	1_4_period	NONE	Before	G1	sample_control	seq_3	Out
2	1	1	2	8134F	Angus	3/9/18	5/16/18	68	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	1	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out
3	1	1	3	8139F	Simmental	3/10/18	5/16/18	67	H	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	1	5_16_18	BOTH	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep
4	1	1	4	8061F	Angus	3/2/18	5/16/18	75	H	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	1	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out
5	1	1	5	8106F	Simmental	3/7/18	5/16/18	70	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	1	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out
6	1	1	6	8117F	Simmental	3/8/18	5/16/18	69	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	1	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out
7	1	1	7	8063F	Simmental	3/2/18	5/16/18	75	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	1	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out
8	1	1	8	8120F	Simmental	3/8/18	5/16/18	69	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	1	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep
9	1	1	9	8142F	Simmental	3/10/18	5/16/18	67	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	1	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out
10	1	1	10	8109F	Simmental	3/7/18	5/16/18	70	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	1	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out
11	1	1	11	8138F	Simmental	3/10/18	5/16/18	67	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	1	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out
12	1	1	12	8188F	Simmental	3/23/18	5/16/18	54	B	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	1	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out
13	1	1	13	8135F	Angus	3/9/18	5/16/18	68	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	1	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out
14	1	1	14	8198F	Angus	3/28/18	5/16/18	49	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	1	5_16_18	M_bovis_R	1_4_period	NONE	Before	G3	sample_control	seq_3	Out
15	1	1	15	8145F	Simmental	3/10/18	5/16/18	67	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	1	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep
16	1	1	16	8180F	Simmental	3/21/18	5/16/18	56	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	1	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out
17	1	1	17	8219F	Simmental	4/4/18	5/16/18	42	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	1	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G3	sample_control	seq_3	Keep
