Sample_ID	PLATE	PRIMER	BAR_CODE_ID	Animal_ID	Breed	DOB	Initial	Days_from_birth	Sex	Hide	Mask_given1	Treat_assign1	Treat_given1	Trt_date1	Treat_group1	Mask_given2	Treat_assign2	Treatment	Trtment_date2	Treat_group2	Time	Date_swabbed	Invitro_growth	Group	infected	Ulcer_positive	Age_group	Type	Run	Missed	ELISA	Eye_sampled	Elisa_Concentration
1	1	1	1	8111F	Simmental	3/7/18	5/16/18	70	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	Pre IBK Treatment	Before	G1	sample_control	seq_3	Out	YES	L	0.3206197
2	1	1	2	8134F	Angus	3/9/18	5/16/18	68	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
3	1	1	3	8139F	Simmental	3/10/18	5/16/18	67	H	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	BOTH	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep	NONE	L	NONE
4	1	1	4	8061F	Angus	3/2/18	5/16/18	75	H	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
5	1	1	5	8106F	Simmental	3/7/18	5/16/18	70	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
6	1	1	6	8117F	Simmental	3/8/18	5/16/18	69	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
7	1	1	7	8063F	Simmental	3/2/18	5/16/18	75	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
8	1	1	8	8120F	Simmental	3/8/18	5/16/18	69	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep	NONE	L	NONE
9	1	1	9	8142F	Simmental	3/10/18	5/16/18	67	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
10	1	1	10	8109F	Simmental	3/7/18	5/16/18	70	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
